  0, 0.7663
 10, 0.7684
 20, 0.7703
 30, 0.7719
 40, 0.773
 50, 0.7739
 60, 0.7745
 70, 0.775
 80, 0.7754
 90, 0.7757
100, 0.7761
110, 0.7766
120, 0.7769
130, 0.7773
140, 0.7776
150, 0.7778
160, 0.778
170, 0.7781
180, 0.7783
190, 0.7784
200, 0.7787
210, 0.7788
220, 0.779
230, 0.7791
240, 0.7792
250, 0.7794
260, 0.7795
270, 0.7797
280, 0.7798
290, 0.7799
300, 0.78
310, 0.7801
320, 0.7802
330, 0.7803
340, 0.7803
350, 0.7804
360, 0.7805
370, 0.7806
380, 0.7806
390, 0.7807
400, 0.7808
410, 0.7809
420, 0.7809
430, 0.7809
440, 0.781
450, 0.7811
460, 0.7811
470, 0.7811
480, 0.781
490, 0.7809
500, 0.7808
510, 0.7806
520, 0.7788
530, 0.7724
540, 0.7663
550, 0.7616
560, 0.7582
570, 0.7531
580, 0.7495
590, 0.7466
600, 0.7437
610, 0.7409
620, 0.7374
630, 0.7368
640, 0.7359
650, 0.7336
660, 0.7317
670, 0.7296
680, 0.7281
690, 0.7269
700, 0.724
710, 0.7201
720, 0.7185
730, 0.7183
740, 0.7178
750, 0.717
760, 0.7164
770, 0.7157
780, 0.7156
790, 0.7153
800, 0.7149
810, 0.7147
820, 0.7141
830, 0.7137
840, 0.7133
850, 0.713
860, 0.7125
870, 0.7122
880, 0.7119
890, 0.7117
900, 0.7114
910, 0.7112
920, 0.7109
930, 0.7105
940, 0.7103
950, 0.7103
960, 0.71
970, 0.7098
980, 0.7096
990, 0.7096
1000, 0.7094
